site_code,eqr,eqc
LTR1_2010,,
LTR1_2011,,
LTR1_2012,,
LTR1_2013,0.5714,Moderate
LTR1_2014,0.54,Moderate
LTR1_2015,0.81,High
LTR1_2016,0.51,Moderate
LTR1_2017,0.63,Good
LTR1_2020,0.54,Moderate
LTR1011_2013,0.2857,Bad
LTR1011_2016,0.48,Moderate
LTR1013_2010,,
LTR1013_2013,1,High
LTR1013_2016,0.53,Moderate
LTR1013_2019,0.47,Moderate
LTR1013_2022,0.57,Moderate
LTR1019_2012,,
LTR1019_2015,0.45,Moderate
LTR1019_2019,0.56,Good
LTR1019_2022,0.54,Good
LTR1021_2012,,
LTR1021_2016,0.42,Moderate
LTR1021_2019,0.55,Good
LTR1021_2022,0.5,Moderate
LTR1023_2010,,
LTR1023_2013,0.7143,Good
LTR1023_2016,0.68,Good
LTR1023_2019,0.75,High
LTR1023_2022,0.63,Good
LTR1027_2017,0.56,Moderate
LTR1027_2022,0.48,Moderate
LTR1032_2012,,
LTR1032_2015,0.74,Good
LTR1037_2012,,
LTR1037_2015,0.48,Moderate
LTR1037_2018,0.44,Moderate
LTR1037_2021,0.46,Moderate
LTR1038_2015,0.76,High
LTR1043_2010,,
LTR1043_2013,0.4286,Moderate
LTR1043_2015,0.5,Good
LTR1043_2019,0.51,Good
LTR1043_2022,0.44,Moderate
LTR1044_2012,,
LTR1044_2016,0.58,Good
LTR1044_2019,0.58,Good
LTR1044_2022,0.47,Moderate
LTR1049_2012,,
LTR1049_2015,0.66,Good
LTR1049_2018,0.69,Good
LTR1049_2021,0.57,Good
LTR105_2010,,
LTR105_2011,,
LTR105_2012,,
LTR105_2013,0.4286,Poor
LTR105_2014,0.68,Good
LTR105_2015,0.7,Good
LTR105_2016,0.67,Good
LTR105_2017,0.59,Moderate
LTR105_2020,0.58,Moderate
LTR1054_2012,,
LTR1054_2016,0.66,Good
LTR1054_2019,0.71,High
LTR1054_2022,0.51,Moderate
LTR106_2012,,
LTR106_2016,0.64,Good
LTR106_2019,0.7,Good
LTR106_2023,,
LTR1063_2017,0.36,Poor
LTR1063_2021,0.35,Poor
LTR1070_2010,,
LTR1070_2013,0.8571,High
LTR1070_2016,0.55,Moderate
LTR1070_2019,0.62,Good
LTR1070_2022,0.49,Moderate
LTR1072_2012,,
LTR1072_2016,0.79,High
LTR1072_2019,0.37,Moderate
LTR1074_2012,,
LTR1074_2016,0.46,Moderate
LTR1076_2017,0.53,Moderate
LTR1076_2022,0.41,Moderate
LTR1089_2013,0.7143,Good
LTR1089_2018,0.57,Good
LTR1092_2013,0.8571,High
LTR1092_2019,0.6,Good
LTR1093_2013,0.7143,High
LTR1093_2019,0.47,Moderate
LTR11_2010,,
LTR11_2011,,
LTR11_2013,0.4286,Moderate
LTR11_2014,0.44,Moderate
LTR11_2015,0.4,Moderate
LTR11_2016,0.39,Moderate
LTR11_2017,0.51,Good
LTR11_2020,0.45,Moderate
LTR1101_2022,0.73,Good
LTR1105_2022,0.54,Moderate
LTR1109_2017,0.54,Good
LTR1109_2022,0.57,Good
LTR1118_2013,0.7143,High
LTR1118_2018,0.45,Moderate
LTR1118_2021,0.4,Moderate
LTR1124_2010,,
LTR1124_2019,0.54,Moderate
LTR1127_2013,0.8571,High
LTR1127_2019,0.61,Good
LTR1145_2010,,
LTR1145_2019,0.62,Good
LTR1182_2010,,
LTR1182_2016,0.54,Good
LTR1182_2022,0.47,Moderate
LTR1192_2010,,
LTR1192_2012,,
LTR1192_2016,0.64,Good
LTR1192_2019,0.47,Moderate
LTR1192_2022,0.74,Good
LTR1213_2019,0.67,Good
LTR1225_2015,0.59,Good
LTR1225_2018,0.36,Moderate
LTR1225_2022,0.41,Moderate
LTR1236_2010,,
