"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","eqr","eqc","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund"
"LTR1","LTR1_4.10.2010","LTR1_2010","4","10","2010","4/10/2010","54.0306","23.9684","Nemunas","river","N","4",NA,NA,3,3,74,1,1,11
"LTR1","LTR1_3.10.2011","LTR1_2011","3","10","2011","3/10/2011","54.0306","23.9684","Nemunas","river","N","4",NA,NA,4,4,454,0,0,0
"LTR1","LTR1_1.10.2012","LTR1_2012","1","10","2012","1/10/2012","54.0306","23.9684","Nemunas","river","N","4",NA,NA,6,6,331,0,0,0
"LTR1","LTR1_7.10.2013","LTR1_2013","7","10","2013","7/10/2013","54.0306","23.9684","Nemunas","river","N","4",0.5714,"Moderate",6,6,573,0,0,0
"LTR1","LTR1_6.10.2014","LTR1_2014","6","10","2014","6/10/2014","54.0306","23.9684","Nemunas","river","N","4",0.54,"Moderate",4,4,183,0,0,0
"LTR1","LTR1_5.10.2015","LTR1_2015","5","10","2015","5/10/2015","54.0306","23.9684","Nemunas","river","N","4",0.81,"High",5,5,199,1,1,30
"LTR1","LTR1_3.10.2016","LTR1_2016","3","10","2016","3/10/2016","54.0306","23.9684","Nemunas","river","N","4",0.51,"Moderate",4,4,1100,1,1,680
"LTR1","LTR1_2.10.2017","LTR1_2017","2","10","2017","2/10/2017","54.0306","23.9684","Nemunas","river","N","4",0.63,"Good",4,4,123,1,1,48
"LTR1","LTR1_5.10.2020","LTR1_2020","5","10","2020","5/10/2020","54.0306","23.9684","Nemunas","river","N","4",0.54,"Moderate",4,4,101,0,0,0
"LTR1011","LTR1011_26.9.2013","LTR1011_2013","26","9","2013","26/9/2013","56.2103","24.4007","Lielupe","river","N","1",0.2857,"Bad",3,3,525,0,0,0
"LTR1011","LTR1011_3.10.2016","LTR1011_2016","3","10","2016","3/10/2016","56.2103","24.4007","Lielupe","river","HM","1",0.48,"Moderate",4,4,21,2,2,2
"LTR1013","LTR1013_1.9.2010","LTR1013_2010","1","9","2010","1/9/2010","56.16635395","24.75789643","Lielupe","river","N","1",NA,NA,0,0,0,0,0,0
"LTR1013","LTR1013_8.10.2013","LTR1013_2013","8","10","2013","8/10/2013","56.16635395","24.75789643","Lielupe","river","N","1",1,"High",3,3,9,0,0,0
"LTR1013","LTR1013_28.9.2016","LTR1013_2016","28","9","2016","28/9/2016","56.16635395","24.75789643","Lielupe","river","N","1",0.53,"Moderate",1,1,38,0,0,0
"LTR1013","LTR1013_2.10.2019","LTR1013_2019","2","10","2019","2/10/2019","56.16635395","24.75789643","Lielupe","river","N","1",0.47,"Moderate",1,1,6,0,0,0
"LTR1013","LTR1013_5.10.2022","LTR1013_2022","5","10","2022","5/10/2022","56.16635395","24.75789643","Lielupe","river","N","1",0.57,"Moderate",4,3,62,0,0,0
"LTR1019","LTR1019_4.10.2012","LTR1019_2012","4","10","2012","4/10/2012","55.93959493","24.5620452","Lielupe","river","HM","1",NA,NA,6,6,102,2,2,3
"LTR1019","LTR1019_1.10.2015","LTR1019_2015","1","10","2015","1/10/2015","55.93959493","24.5620452","Lielupe","river","HM","1",0.45,"Moderate",3,3,12,0,0,0
"LTR1019","LTR1019_1.10.2019","LTR1019_2019","1","10","2019","1/10/2019","55.93959493","24.5620452","Lielupe","river","HM","1",0.56,"Good",1,1,32,0,0,0
"LTR1019","LTR1019_3.10.2022","LTR1019_2022","3","10","2022","3/10/2022","55.93959493","24.5620452","Lielupe","river","HM","1",0.54,"Good",1,1,1,0,0,0
"LTR1021","LTR1021_9.10.2012","LTR1021_2012","9","10","2012","9/10/2012","55.63720277","24.47654378","Nemunas","river","HM","1",NA,NA,1,1,34,0,0,0
"LTR1021","LTR1021_4.10.2016","LTR1021_2016","4","10","2016","4/10/2016","55.63720277","24.47654378","Nemunas","river","HM","1",0.42,"Moderate",2,2,3,0,0,0
"LTR1021","LTR1021_26.9.2019","LTR1021_2019","26","9","2019","26/9/2019","55.63720277","24.47654378","Nemunas","river","HM","1",0.55,"Good",1,1,43,0,0,0
"LTR1021","LTR1021_20.9.2022","LTR1021_2022","20","9","2022","20/9/2022","55.63720277","24.47654378","Nemunas","river","HM","1",0.5,"Moderate",2,2,5,0,0,0
"LTR1023","LTR1023_4.10.2010","LTR1023_2010","4","10","2010","4/10/2010","56.03310465","25.43850925","Lielupe","river","N","1",NA,NA,3,3,9,0,0,0
"LTR1023","LTR1023_7.10.2013","LTR1023_2013","7","10","2013","7/10/2013","56.03310465","25.43850925","Lielupe","river","N","1",0.7143,"Good",2,2,50,0,0,0
"LTR1023","LTR1023_27.9.2016","LTR1023_2016","27","9","2016","27/9/2016","56.03310465","25.43850925","Lielupe","river","HM","1",0.68,"Good",3,3,5,1,1,2
"LTR1023","LTR1023_25.9.2019","LTR1023_2019","25","9","2019","25/9/2019","56.03310465","25.43850925","Lielupe","river","HM","1",0.75,"High",6,4,1461,2,2,105
"LTR1023","LTR1023_4.10.2022","LTR1023_2022","4","10","2022","4/10/2022","56.03310465","25.43850925","Lielupe","river","HM","1",0.63,"Good",2,2,43,0,0,0
"LTR1027","LTR1027_11.10.2017","LTR1027_2017","11","10","2017","11/10/2017","56.03761878","25.61537655","Lielupe","river","N","1",0.56,"Moderate",3,3,5,2,2,3
"LTR1027","LTR1027_4.10.2022","LTR1027_2022","4","10","2022","4/10/2022","56.03761878","25.61537655","Lielupe","river","N","1",0.48,"Moderate",2,1,9,0,0,0
"LTR1032","LTR1032_8.10.2012","LTR1032_2012","8","10","2012","8/10/2012","55.81068041","25.07461812","Lielupe","river","N","1",NA,NA,3,2,42,1,1,2
"LTR1032","LTR1032_6.10.2015","LTR1032_2015","6","10","2015","6/10/2015","55.81068041","25.07461812","Lielupe","river","N","1",0.74,"Good",5,5,20,1,1,4
"LTR1037","LTR1037_10.10.2012","LTR1037_2012","10","10","2012","10/10/2012","55.5299","24.281","Nemunas","river","HM","1",NA,NA,0,0,0,0,0,0
"LTR1037","LTR1037_8.10.2015","LTR1037_2015","8","10","2015","8/10/2015","55.5299","24.281","Nemunas","river","HM","1",0.48,"Moderate",0,0,0,0,0,0
"LTR1037","LTR1037_4.10.2018","LTR1037_2018","4","10","2018","4/10/2018","55.5299","24.281","Nemunas","river","HM","1",0.44,"Moderate",3,3,27,0,0,0
"LTR1037","LTR1037_29.9.2021","LTR1037_2021","29","9","2021","29/9/2021","55.5299","24.281","Nemunas","river","HM","1",0.46,"Moderate",2,1,19,0,0,0
"LTR1038","LTR1038_30.9.2015","LTR1038_2015","30","9","2015","30/9/2015","55.46640083","24.14780428","Nemunas","river","HM","1",0.76,"High",3,2,3,0,0,0
"LTR1043","LTR1043_30.9.2010","LTR1043_2010","30","9","2010","30/9/2010","56.08240854","24.64071218","Lielupe","river","HM","1",NA,NA,1,1,1,0,0,0
"LTR1043","LTR1043_26.9.2013","LTR1043_2013","26","9","2013","26/9/2013","56.08240854","24.64071218","Lielupe","river","HM","1",0.4286,"Moderate",1,1,12,0,0,0
"LTR1043","LTR1043_1.10.2015","LTR1043_2015","1","10","2015","1/10/2015","56.08240854","24.64071218","Lielupe","river","HM","1",0.5,"Good",1,1,1,1,1,1
"LTR1043","LTR1043_3.10.2019","LTR1043_2019","3","10","2019","3/10/2019","56.08240854","24.64071218","Lielupe","river","HM","1",0.51,"Good",1,1,16,0,0,0
"LTR1043","LTR1043_3.10.2022","LTR1043_2022","3","10","2022","3/10/2022","56.08240854","24.64071218","Lielupe","river","HM","1",0.44,"Moderate",2,1,12,0,0,0
"LTR1044","LTR1044_3.10.2012","LTR1044_2012","3","10","2012","3/10/2012","55.98725264","24.75072286","Lielupe","river","HM","1",NA,NA,4,4,56,2,2,2
"LTR1044","LTR1044_28.9.2016","LTR1044_2016","28","9","2016","28/9/2016","55.98725264","24.75072286","Lielupe","river","HM","1",0.58,"Good",3,3,32,1,1,1
"LTR1044","LTR1044_2.10.2019","LTR1044_2019","2","10","2019","2/10/2019","55.98725264","24.75072286","Lielupe","river","HM","1",0.58,"Good",2,2,43,0,0,0
"LTR1044","LTR1044_6.10.2022","LTR1044_2022","6","10","2022","6/10/2022","55.98725264","24.75072286","Lielupe","river","HM","1",0.47,"Moderate",2,2,7,0,0,0
"LTR1049","LTR1049_8.10.2012","LTR1049_2012","8","10","2012","8/10/2012","55.9857","25.0871","Lielupe","river","HM","1",NA,NA,1,1,39,0,0,0
"LTR1049","LTR1049_6.10.2015","LTR1049_2015","6","10","2015","6/10/2015","55.9857","25.0871","Lielupe","river","HM","1",0.66,"Good",2,2,20,1,1,18
"LTR1049","LTR1049_3.10.2018","LTR1049_2018","3","10","2018","3/10/2018","55.9857","25.0871","Lielupe","river","HM","1",0.69,"Good",3,3,64,1,1,22
"LTR1049","LTR1049_7.10.2021","LTR1049_2021","7","10","2021","7/10/2021","55.9857","25.0871","Lielupe","river","HM","1",0.57,"Good",2,2,13,1,1,9
"LTR105","LTR105_27.9.2010","LTR105_2010","27","9","2010","27/9/2010","55.2845","26.7849","Dauguva","river","N","2",NA,NA,2,2,57,1,1,33
"LTR105","LTR105_27.9.2011","LTR105_2011","27","9","2011","27/9/2011","55.2845","26.7849","Dauguva","river","N","2",NA,NA,3,3,17,2,2,3
"LTR105","LTR105_26.9.2012","LTR105_2012","26","9","2012","26/9/2012","55.2845","26.7849","Dauguva","river","N","2",NA,NA,3,3,19,1,1,1
"LTR105","LTR105_16.9.2013","LTR105_2013","16","9","2013","16/9/2013","55.2845","26.7849","Dauguva","river","N","2",0.4286,"Poor",4,4,178,0,0,0
"LTR105","LTR105_23.9.2014","LTR105_2014","23","9","2014","23/9/2014","55.2845","26.7849","Dauguva","river","N","2",0.68,"Good",1,1,18,0,0,0
"LTR105","LTR105_21.9.2015","LTR105_2015","21","9","2015","21/9/2015","55.2845","26.7849","Dauguva","river","N","2",0.7,"Good",2,2,26,0,0,0
"LTR105","LTR105_26.9.2016","LTR105_2016","26","9","2016","26/9/2016","55.2845","26.7849","Dauguva","river","N","2",0.67,"Good",0,0,0,0,0,0
"LTR105","LTR105_25.10.2017","LTR105_2017","25","10","2017","25/10/2017","55.2845","26.7849","Dauguva","river","N","2",0.59,"Moderate",4,2,140,2,1,133
"LTR105","LTR105_22.9.2020","LTR105_2020","22","9","2020","22/9/2020","55.2845","26.7849","Dauguva","river","N","2",0.58,"Moderate",2,2,37,1,1,15
"LTR1054","LTR1054_28.9.2012","LTR1054_2012","28","9","2012","28/9/2012","54.50745363","23.11313414","Nemunas","river","N","1",NA,NA,2,2,134,0,0,0
"LTR1054","LTR1054_4.10.2016","LTR1054_2016","4","10","2016","4/10/2016","54.50745363","23.11313414","Nemunas","river","HM","1",0.66,"Good",2,1,47,0,0,0
"LTR1054","LTR1054_7.10.2019","LTR1054_2019","7","10","2019","7/10/2019","54.50745363","23.11313414","Nemunas","river","HM","1",0.71,"High",6,6,157,1,1,30
"LTR1054","LTR1054_6.10.2022","LTR1054_2022","6","10","2022","6/10/2022","54.50745363","23.11313414","Nemunas","river","HM","1",0.51,"Moderate",5,3,65,1,1,13
"LTR106","LTR106_25.9.2012","LTR106_2012","25","9","2012","25/9/2012","55.7421","26.299","Dauguva","river","N","3",NA,NA,1,1,1,0,0,0
"LTR106","LTR106_21.9.2016","LTR106_2016","21","9","2016","21/9/2016","55.7421","26.299","Dauguva","river","N","3",0.64,"Good",3,3,451,1,1,246
"LTR106","LTR106_19.9.2019","LTR106_2019","19","9","2019","19/9/2019","55.7421","26.299","Dauguva","river","N","3",0.7,"Good",2,2,56,1,1,29
