"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","eqr","eqc","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund","Agricultural.areas","Artificial.surfaces","Forest.and.semi.natural.areas","Water.bodies","Wetlands","observation_period","sampling_events","ppt","q","tmax","tmin","ws"
"LTR1","LTR1_4.10.2010","LTR1_2010",4,10,2010,2010-10-04,54.0306,23.9684,"Nemunas","river","N",4,NA,NA,3,3,74,1,1,11,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,68.167,18.05,10.842,3.109,3.204
"LTR1","LTR1_3.10.2011","LTR1_2011",3,10,2011,2011-10-03,54.0306,23.9684,"Nemunas","river","N",4,NA,NA,4,4,454,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,53.75,13.45,11.076,2.612,3.381
"LTR1","LTR1_1.10.2012","LTR1_2012",1,10,2012,2012-10-01,54.0306,23.9684,"Nemunas","river","N",4,NA,NA,6,6,331,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,46.225,5.6,11.493,3.261,3.347
"LTR1","LTR1_7.10.2013","LTR1_2013",7,10,2013,2013-10-07,54.0306,23.9684,"Nemunas","river","N",4,0.5714,"Moderate",6,6,573,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,59.317,15.117,10.76,3.024,3.174
"LTR1","LTR1_6.10.2014","LTR1_2014",6,10,2014,2014-10-06,54.0306,23.9684,"Nemunas","river","N",4,0.54,"Moderate",4,4,183,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,46.492,10.833,12.633,4.437,3.219
"LTR1","LTR1_5.10.2015","LTR1_2015",5,10,2015,2015-10-05,54.0306,23.9684,"Nemunas","river","N",4,0.81,"High",5,5,199,1,1,30,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,39.808,5.892,12.524,3.922,3.23
"LTR1","LTR1_3.10.2016","LTR1_2016",3,10,2016,2016-10-03,54.0306,23.9684,"Nemunas","river","N",4,0.51,"Moderate",4,4,1100,1,1,680,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,53.95,13.317,12.592,4.262,3.117
"LTR1","LTR1_2.10.2017","LTR1_2017",2,10,2017,2017-10-02,54.0306,23.9684,"Nemunas","river","N",4,0.63,"Good",4,4,123,1,1,48,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,64.692,20.017,11.108,3.292,3.354
"LTR1","LTR1_5.10.2020","LTR1_2020",5,10,2020,2020-10-05,54.0306,23.9684,"Nemunas","river","N",4,0.54,"Moderate",4,4,101,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,42.608,2.133,13.667,5.258,3.608
"LTR1011","LTR1011_26.9.2013","LTR1011_2013",26,9,2013,2013-09-26,56.2103,24.4007,"Lielupe","river","N",1,0.2857,"Bad",3,3,525,0,0,0,1,0,0,0,0,4,2,51.725,15.25,10.745,3.216,2.723
"LTR1011","LTR1011_3.10.2016","LTR1011_2016",3,10,2016,2016-10-03,56.2103,24.4007,"Lielupe","river","HM",1,0.48,"Moderate",4,4,21,2,2,2,1,0,0,0,0,4,2,50.358,9.608,11.838,4.61,2.734
"LTR1013","LTR1013_1.9.2010","LTR1013_2010",1,9,2010,2010-09-01,56.16635395,24.75789643,"Lielupe","river","N",1,NA,NA,0,0,0,0,0,0,0.841772151898734,0.120253164556962,0.0379746835443038,0,0,13,5,66.667,17.767,10.441,2.826,2.837
"LTR1013","LTR1013_8.10.2013","LTR1013_2013",8,10,2013,2013-10-08,56.16635395,24.75789643,"Lielupe","river","N",1,1,"High",3,3,9,0,0,0,0.841772151898734,0.120253164556962,0.0379746835443038,0,0,13,5,58.933,17.65,10.526,2.668,2.766
"LTR1013","LTR1013_28.9.2016","LTR1013_2016",28,9,2016,2016-09-28,56.16635395,24.75789643,"Lielupe","river","N",1,0.53,"Moderate",1,1,38,0,0,0,0.841772151898734,0.120253164556962,0.0379746835443038,0,0,13,5,55.8,11.633,11.737,4.203,2.863
