"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","eqr","eqc","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund","agricultural_areas","artificial_surfaces","forest_and_semi_natural_areas","water_bodies","wetlands","observation_period","sampling_events","ppt","q","tmax","tmin","ws","elevation"
"LTR1","LTR1_4.10.2010","LTR1_2010",4,10,2010,"2010-10-04",54.0306,23.9684,"Nemunas","river","N",4,NA,NA,3,3,74,1,1,11,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,68.1666666666667,18.05,10.8416666666667,3.10916666666667,3.20416666666667,89.5
"LTR1","LTR1_3.10.2011","LTR1_2011",3,10,2011,"2011-10-03",54.0306,23.9684,"Nemunas","river","N",4,NA,NA,4,4,454,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,53.75,13.45,11.0758333333333,2.61166666666667,3.38083333333333,89.5
"LTR1","LTR1_1.10.2012","LTR1_2012",1,10,2012,"2012-10-01",54.0306,23.9684,"Nemunas","river","N",4,NA,NA,6,6,331,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,46.225,5.6,11.4933333333333,3.26083333333334,3.34666666666667,89.5
"LTR1","LTR1_7.10.2013","LTR1_2013",7,10,2013,"2013-10-07",54.0306,23.9684,"Nemunas","river","N",4,0.5714,"Moderate",6,6,573,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,59.3166666666667,15.1166666666667,10.76,3.02416666666667,3.17416666666667,89.5
"LTR1","LTR1_6.10.2014","LTR1_2014",6,10,2014,"2014-10-06",54.0306,23.9684,"Nemunas","river","N",4,0.54,"Moderate",4,4,183,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,46.4916666666667,10.8333333333333,12.6333333333333,4.43666666666667,3.21916666666667,89.5
"LTR1","LTR1_5.10.2015","LTR1_2015",5,10,2015,"2015-10-05",54.0306,23.9684,"Nemunas","river","N",4,0.81,"High",5,5,199,1,1,30,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,39.8083333333333,5.89166666666667,12.5241666666667,3.92166666666667,3.23,89.5
"LTR1","LTR1_3.10.2016","LTR1_2016",3,10,2016,"2016-10-03",54.0306,23.9684,"Nemunas","river","N",4,0.51,"Moderate",4,4,1100,1,1,680,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,53.95,13.3166666666667,12.5916666666667,4.26166666666667,3.11666666666667,89.5
"LTR1","LTR1_2.10.2017","LTR1_2017",2,10,2017,"2017-10-02",54.0306,23.9684,"Nemunas","river","N",4,0.63,"Good",4,4,123,1,1,48,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,64.6916666666667,20.0166666666667,11.1083333333333,3.29166666666667,3.35416666666667,89.5
"LTR1","LTR1_5.10.2020","LTR1_2020",5,10,2020,"2020-10-05",54.0306,23.9684,"Nemunas","river","N",4,0.54,"Moderate",4,4,101,0,0,0,0.00636942675159236,0.232484076433121,0.640127388535032,0.121019108280255,0,11,9,42.6083333333333,2.13333333333333,13.6666666666667,5.25833333333334,3.60833333333333,89.5
"LTR1011","LTR1011_26.9.2013","LTR1011_2013",26,9,2013,"2013-09-26",56.2103,24.4007,"Lielupe","river","N",1,0.2857,"Bad",3,3,525,0,0,0,1,0,0,0,0,4,2,51.725,15.25,10.745,3.21583333333333,2.72333333333333,24.8000164031982
