site_id,latitude,longitude,Lat,Long,Xkm,Ykm,waterbody_type,avg_eqr,mode_eqc,avg_eqc_num,observation_count,avg_eqc_cat
LTR1,54.0306,23.9684,54.0306,23.9684,694.407605224924,5991.003552509631,River,0.6002333333333334,Moderate,4,6,Good
LTR1011,56.2103,24.4007,56.2103,24.4007,710.8938508250014,6234.689742695173,River,0.38285,Bad,2,2,Poor
LTR1013,56.16635395,24.75789643,56.16635395,24.75789643,733.3004839117436,6230.953495214496,River,0.6425,Moderate,4,4,Good
LTR1019,55.93959493,24.5620452,55.93959493,24.5620452,722.4499549465015,6205.088254888796,River,0.5166666666666667,Good,4,3,Good
LTR1021,55.63720277,24.47654378,55.63720277,24.47654378,718.8024964039308,6171.184862249298,River,0.49,Moderate,3,3,Moderate
LTR1023,56.03310465,25.43850925,56.03310465,25.43850925,776.4794621342544,6218.652885550476,River,0.693575,Good,4,4,Good
LTR1027,56.03761878,25.61537655,56.03761878,25.61537655,787.4543049540944,6219.877552191145,River,0.52,Moderate,3,2,Moderate
LTR1032,55.81068041,25.07461812,55.81068041,25.07461812,755.286569743651,6192.5230421864,River,0.74,Good,4,1,Good
LTR1037,55.5299,24.281,55.5299,24.281,707.0650437954914,6158.650700018247,River,0.46,Moderate,3,3,Moderate
LTR1038,55.46640083,24.14780428,55.46640083,24.14780428,698.9822246916457,6151.198759249773,River,0.76,High,5,1,High
LTR1043,56.08240854,24.64071218,56.08240854,24.64071218,726.5223450084255,6221.227040909649,River,0.46965,Moderate,4,4,Good
LTR1044,55.98725264,24.75072286,55.98725264,24.75072286,733.9388444640757,6211.011615690857,River,0.5433333333333333,Good,4,3,Good
LTR1049,55.9857,25.0871,55.9857,25.0871,754.9166775337058,6212.029617227372,River,0.64,Good,4,3,Good
LTR105,55.2845,26.7849,55.2845,26.7849,867.2087385895871,6141.710290200591,River,0.6081,Good,3,6,Moderate
LTR1054,54.50745363,23.11313414,54.50745363,23.11313414,636.8148094094199,6042.038139939675,River,0.6266666666666667,Good,4,3,Good
LTR106,55.7421,26.299,55.7421,26.299,832.5104821149756,6190.100024122284,River,0.6699999999999999,Good,4,2,Good
LTR1063,54.8796,22.9934,54.8796,22.9934,627.887712822205,6083.213547560838,River,0.355,Poor,2,2,Poor
LTR1070,54.51384723,22.96784305,54.51384723,22.96784305,627.3892915808382,6042.476578115696,River,0.629275,Moderate,4,4,Good
LTR1072,54.6354,23.0552,54.6354,23.0552,632.6481898781459,6056.160748697283,River,0.5800000000000001,High,4,2,Good
LTR1074,54.4742,23.2888,54.4742,23.2888,648.3067495251638,6038.694819438646,River,0.46,Moderate,3,1,Moderate
LTR1076,54.72036769,23.59466014,54.72036769,23.59466014,667.1099194928757,6066.764712656648,River,0.47,Moderate,3,2,Moderate
LTR1089,55.5575,23.52,55.5575,23.52,658.9394579440714,6159.715604096894,River,0.64215,Good,4,2,Good
LTR1092,55.9739,22.5688,55.9739,22.5688,597.9039904578057,6204.285698941481,River,0.72855,High,4,2,Good
LTR1093,56.2889,22.9667,56.2889,22.9667,621.7330377745509,6239.9723583135265,River,0.59215,High,4,2,Good
LTR11,55.0701,22.578,55.0701,22.578,600.7619012971815,6103.729836348945,River,0.43643333333333334,Moderate,3,6,Moderate
LTR1101,55.84406375,22.10576829,55.84406375,22.10576829,569.2401886745366,6189.277451231019,River,0.73,Good,4,1,Good
LTR1105,55.94012552,21.59629371,55.94012552,21.59629371,537.2467607993465,6199.576324523552,River,0.54,Moderate,3,1,Moderate
LTR1109,55.79878328,23.31846241,55.79878328,23.31846241,645.333223783448,6186.117568418722,River,0.5549999999999999,Good,4,2,Good
LTR1118,56.3083,23.9165,56.3083,23.9165,680.4151166880841,6244.215271177044,River,0.5214333333333334,Moderate,4,3,Good
LTR1124,56.3677,23.2676,56.3677,23.2676,640.0654471095444,6249.313050407419,River,0.54,Moderate,3,1,Moderate
LTR1127,56.0038,23.117,56.0038,23.117,632.0084649780512,6208.524810594702,River,0.7335499999999999,High,4,2,Good
LTR1145,56.2817,22.2295,56.2817,22.2295,576.120288637322,6238.112130258727,River,0.62,Good,4,1,Good
LTR1182,54.56128058,23.69679031,54.56128058,23.69679031,674.3658191985073,6049.317254037828,River,0.505,Good,4,2,Good
LTR1192,55.53557762,25.54668975,55.53557762,25.54668975,786.8498027749476,6163.784450377748,River,0.6166666666666667,Good,4,3,Good
LTR1213,56.4012,22.3637,56.4012,22.3637,584.1647294593271,6251.567853325815,River,0.67,Good,4,1,Good
LTR1225,55.32212959,24.3694978,55.32212959,24.3694978,713.768127460524,6135.810250987126,River,0.4533333333333333,Moderate,3,3,Moderate
LTR1236,55.6556,21.8252,55.6556,21.8252,551.9220022293065,6168.058604564536,River,0.72,High,4,2,Good
LTR1241,55.6193,21.9973,55.6193,21.9973,562.808308156827,6164.161178429161,River,0.725,High,4,2,Good
LTR1249,55.6869,24.1623,55.6869,24.1623,698.7804796095104,6175.766122702166,River,0.606075,Good,4,4,Good
LTR1252,55.4868,24.1269,55.4868,24.1269,697.5591494793969,6153.408081796041,River,0.5533333333333333,Good,4,3,Good
LTR1254,55.5514,24.4687,55.5514,24.4687,718.7862853352058,6161.617491307392,River,0.5366666666666666,Moderate,3,3,Moderate
LTR1256,55.6897,24.5887,55.6897,24.5887,725.555594380458,6177.38271765373,River,0.66,High,4,3,Good
LTR127,55.2913,21.3772,55.2913,21.3772,523.9537444039735,6127.27259228212,River,0.36261666666666664,Poor,2,6,Poor
LTR1274,55.7381,23.5998,55.7381,23.5998,663.2181466434996,6179.992754375511,River,0.565,Good,4,2,Good
LTR1276,55.7804,23.4935,55.7804,23.4935,656.3766805611623,6184.453553263752,River,0.4538,Moderate,3,3,Moderate
LTR1278,55.75588444,22.04290024,55.75588444,22.04290024,565.451478096495,6179.403164332428,River,0.5533333333333333,Good,4,3,Good
LTR1280,55.7735,23.1781,55.7735,23.1781,636.6246676923045,6183.018806347383,River,0.7533333333333333,Good,4,3,Good
LTR1282,55.6678,23.0358,55.6678,23.0358,628.0455493069621,6170.986459250616,River,0.8333333333333334,High,5,6,High
LTR1292,54.5151,23.9921,54.5151,23.9921,693.6728606727618,6044.953723324447,River,0.5466666666666666,Moderate,3,3,Moderate
LTR1293,54.3119,24.8156,54.3119,24.8156,748.1789006137075,6024.9407198527015,River,0.505,Moderate,3,2,Moderate
LTR1294,54.5973,24.0915,54.5973,24.0915,699.70256868038,6054.374134686692,River,0.79,Good,4,3,Good
LTR1296,54.1455,24.3873,54.1455,24.3873,721.2205576334306,6005.012962441025,River,0.7466666666666667,Good,4,3,Good
LTR1298,54.558,24.344,54.558,24.344,716.2156265167108,6050.7507900174705,River,0.735,Good,4,2,Good
LTR1299,54.20113262,24.37129892,54.20113262,24.37129892,719.8804426404866,6011.149484837257,River,0.901775,High,5,4,High
LTR13,55.2726,21.4106,55.2726,21.4106,526.0870271728663,6125.203584021452,River,0.39261666666666667,Moderate,3,6,Moderate
LTR1300,54.11916422,24.30513419,54.11916422,24.30513419,715.9933569119848,6001.830083800274,River,0.7000000000000001,Good,4,3,Good
LTR1301,54.0906,24.2934,54.0906,24.2934,715.3748577773102,5998.617795174088,River,0.81285,High,4,6,Good
LTR1302,54.5102,23.4924,54.5102,23.4924,661.3548807128444,6043.147450180259,River,0.5747666666666666,High,4,3,Good
LTR1303,54.6583,22.9241,54.6583,22.9241,624.1179187501958,6058.468730166546,River,0.675,Good,4,2,Good
LTR1304,54.88957072,22.89419608,54.88957072,22.89419608,621.4940225610899,6084.146197463177,River,0.65,Good,4,2,Good
LTR1306,54.8338,23.1444,54.8338,23.1444,637.72974057894,6078.404496822803,River,0.52,Moderate,3,2,Moderate
LTR1311,55.3473326,25.7722111,55.3473326,25.7722111,802.5048500989044,6143.816495551386,River,0.5735750000000001,Good,4,4,Good
LTR1312,55.6563,25.8733,55.6563,25.8733,806.4943635566266,6178.60058010667,River,0.7766666666666666,High,5,3,High
LTR1314,55.6514,25.4857,55.6514,25.4857,782.1714457392244,6176.409605338823,River,0.6599999999999999,High,4,2,Good
LTR1318,55.6485,25.2921,55.6485,25.2921,770.0215713020135,6175.316019411125,River,0.7566666666666667,High,5,3,High
LTR1319,55.6208,25.4354,55.6208,25.4354,779.2274736444119,6172.8041830140755,River,0.77285,Good,4,6,Good
LTR1320,55.42012213,25.10494164,55.42012213,25.10494164,759.7571717710878,6149.210457861711,River,0.9375,High,5,4,High
LTR1322,55.3741,25.1807,55.3741,25.1807,764.8559481329721,6144.379386411021,River,0.863575,High,5,4,High
LTR1324,55.41357042,23.91641402,55.41357042,23.91641402,684.6065954194588,6144.684073832833,River,0.48333333333333334,Moderate,3,3,Moderate
LTR1329,55.1843,23.0065,55.1843,23.0065,627.7547844882248,6117.137315557582,River,0.47,Moderate,3,1,Moderate
LTR133,55.0933,24.5299,55.0933,24.5299,725.2291005069704,6110.866569884888,River,0.6369,Moderate,4,6,Good
LTR1331,55.2957,23.8759,55.2957,23.8759,682.5847404094227,6131.465866532318,River,0.48,Moderate,3,2,Moderate
LTR1334,55.3869,23.499,55.3869,23.499,658.2976785170556,6140.688517680845,River,0.46499999999999997,Moderate,4,2,Good
LTR1335,54.7721,23.9872,54.7721,23.9872,692.139259138049,6073.524417440444,River,0.55,Moderate,3,2,Moderate
LTR1336,54.9045,24.2338,54.9045,24.2338,707.3151959948523,6088.953313172385,River,0.5249999999999999,Moderate,3,2,Moderate
LTR1339,54.90446378,24.23383656,54.90446378,24.23383656,707.3177251939147,6088.94939319951,River,0.72,High,4,2,Good
LTR1341,54.89379899,25.26969076,54.89379899,25.26969076,773.7609511193971,6091.324805864903,River,0.5714,Moderate,3,1,Moderate
LTR1342,54.72186385,25.04897618,54.72186385,25.04897618,760.7233777798336,6071.367271417339,River,0.57,Moderate,3,1,Moderate
LTR1343,54.4385,25.1294,54.4385,25.1294,767.7526038418443,6040.166012368532,River,0.7,High,4,2,Good
LTR1344,55.2473,24.6455,55.2473,24.6455,731.7060699422353,6128.3710403931445,River,0.665,Good,4,2,Good
LTR1347,54.9355,24.9105,54.9355,24.9105,750.4839507798732,6094.614997119743,River,0.67,High,4,2,Good
LTR1348,55.1295,25.8405,55.1295,25.8405,808.5143450154171,6119.904867087029,River,0.7611833333333333,Good,4,6,Good
LTR1349,55.01134064,25.54223474,55.01134064,25.54223474,790.3738836827449,6105.491343793241,River,0.575,Moderate,3,2,Moderate
LTR1352,55.2333,24.726,55.2333,24.726,736.9033977994752,6127.084895619971,River,0.62,Good,4,1,Good
LTR1353,54.8255,24.9418,54.8255,24.9418,753.1771202144184,6082.496922185172,River,0.7,Good,4,1,Good
LTR1355,54.43911589,25.00321393,54.43911589,25.00321393,759.5711172105083,6039.761567353132,River,0.6733333333333333,High,5,3,High
LTR1356,55.314,22.4032,55.314,22.4032,589.0551751458866,6130.63070830623,River,0.53,Moderate,4,2,Good
LTR1358,55.24128647,21.53534965,55.24128647,21.53534965,534.0395450519316,6121.7727247864195,River,0.46,Moderate,3,3,Moderate
LTR136,54.93186201,23.64693459,54.93186201,23.64693459,669.5868613242309,6090.416246270891,River,0.48265714285714284,Moderate,3,7,Moderate
LTR1367,55.9129246,21.08596378,55.9129246,21.08596378,505.37342050128314,6196.391738392457,River,0.43333333333333335,Moderate,3,3,Moderate
LTR1368,55.3534,22.2035,55.3534,22.2035,576.3060149235428,6134.77790332888,River,0.39,Moderate,2,2,Poor
LTR1369,55.332,21.6035,55.332,21.6035,538.2853409887244,6131.902898696722,River,0.61,Good,4,2,Good
LTR137,54.962,22.7276,54.962,22.7276,610.610752448726,6091.928375239712,River,0.7061833333333333,High,4,6,Good
LTR1370,55.3853,22.5463,55.3853,22.5463,597.9602075267082,6138.756585104839,River,0.47,Poor,3,2,Moderate
LTR1374,55.39152963,22.41105336,55.39152963,22.41105336,589.3787385855245,6139.267773398408,River,0.72,Good,4,1,Good
LTR1376,55.5374,21.4014,55.5374,21.4014,525.3325705879798,6154.668571924994,River,0.715,Good,4,2,Good
LTR1377,56.1662,21.2487,56.1662,21.2487,515.4442265640722,6224.605290604876,River,0.495,Moderate,3,2,Moderate
LTR1378,55.67201875,25.76042049,55.67201875,25.76042049,799.2809702556162,6179.854199563863,River,0.6333333333333333,Good,4,3,Good
LTR1379,55.91262141,21.78035304,55.91262141,21.78035304,548.7781041383563,6196.629762886055,River,0.8575,High,4,4,Good
LTR138,56.0293,21.0698,56.0293,21.0698,504.3499789531329,6209.342803122273,River,0.37,Poor,2,2,Poor
LTR1380,55.1336,23.7913,55.1336,23.7913,677.9372214236166,6113.215878707116,River,0.6066666666666667,Moderate,3,3,Moderate
LTR1382,55.6511,25.0991,55.6511,25.0991,757.8703096766609,6174.870211310693,River,0.84,High,5,2,High
